sector,food_category,tons_surplus
Manufacturing,Not Applicable,13167948.608540205
Foodservice,Not Applicable,12537541.853836237
Farm,Apples,3039113.0945
Farm,Lettuce,2658737.0580789372
Farm,Potatoes,1802445.2591326656
Residential,Bananas,1433374.5335144112
Farm,Watermelons,1425117.8320624947
Residential,Potatoes,1232195.359505038
Residential,Dairy Milk,1132999.5597928416
Farm,Oranges,1096166.43
Residential,Watermelons,716835.0751750187
Residential,Sliced Bread,647340.594804782
Farm,Tomatoes,572429.4281636903
Residential,Apples,569925.7358594347
Farm,Strawberries,567458.0632414899
Residential,Onions,506550.8097388114
Farm,Grapes,484354.9478
Residential,Tomatoes,479045.6627169698
Farm,"Clementines, Mandarins, And Tangerines",468260.6008604937
Residential,Grapes,426463.6643305674
Farm,Cabbage,418075.44952642143
Farm,Lemons,416535.06
Residential,Fully Cooked Chicken,377365.987071142
Residential,"Clementines, Mandarins, And Tangerines",346197.65822723805
Residential,Strawberries,339020.1608324785
Residential,Fruit And Vegetable Juice,337849.7531585975
Residential,Packaged Salads,324435.9480462057
Residential,Rolls And Buns,305199.94573519385
Residential,Salty Snacks,303189.84218252456
Residential,Frozen Dairy Desserts,291646.919449718
Retail,Dairy Milk,284422.51562346966
Residential,Soft Tortillas,276878.52681113017
Residential,Avocados,274487.60032604705
Farm,Cranberries,269567.613775
Residential,Deli Salads,268115.43323390075
Residential,Lettuce,253319.3620918887
Farm,Pumpkins,250241.7336266225
Farm,Celery,245535.2
Residential,Cucumbers,241190.04709232235
Residential,Cheese,240435.9883530585
Farm,Peaches,239392.0350965815
Farm,Squash,239077.65846010152
Residential,Carrots,235715.4613792577
Farm,Blueberries,230492.2233
Farm,Cherries,223287.527220115
Residential,Value Added Fruit,219824.30476415492
Farm,Onions,219434.56231720676
Retail,Bananas,217234.8201771137
Farm,Cucumbers,208220.6394791051
Farm,Pears,204078.742667042
Retail,Sliced Bread,198057.27045291284
Residential,Oranges,196653.04956034463
Retail,Potatoes,193881.82968562545
Residential,Creams And Creamers,190531.1335480927
Residential,Ground Beef,188753.48169103856
Residential,Bell Peppers,185752.56043540261
Residential,Cookies,184608.88519621294
Residential,Mac And Cheese,183916.0347919483
Residential,Sweet Corn,182014.77043848785
Residential,Sausage And Franks,179179.87527826583
Residential,Eggs,178905.2947319894
Residential,Yogurt,174477.67401840232
Residential,Pineapples,170964.01633133387
Farm,Sweet Corn,169608.62745102076
Residential,Canned Vegetables,163850.49056218332
Farm,Nuts And Seeds,163363.96545
Residential,Chicken Breast,163084.30925903277
Residential,"Chilled Salsa, Dips, And Spreads",156420.32663111258
Residential,Value Added Vegetables,154982.40468946105
Residential,Sugar And Sweeteners,150049.25800861508
Residential,Cabbage,147857.29156819664
Farm,Bell Peppers,147093.78650000002
Farm,Spinach,145840.43203358998
Residential,Limes,144540.46539066112
Residential,Pork,143964.57861925743
Farm,Cauliflower,140711.8362195122
Residential,Blueberries,138708.2109329021
Residential,Sandwiches,134307.90857528854
Farm,Grapefruit,134207.76
Residential,Cereal,133683.39060339108
Residential,Plant-Based Dairy Alternatives,133671.32068800993
Residential,Tea,130310.87330854908
Residential,Condiments,127301.86839659377
Residential,Cooking Oils,122718.91361520794
Retail,Fruit And Vegetable Juice,120469.83908230843
Residential,Artisan And Specialty Bread,111266.17441505152
Residential,Rice,110721.84228373267
Residential,Pumpkins,110545.0938230093
Residential,Frozen Chicken,110497.63420880873
Residential,Lemons,110124.30431766596
Residential,Lactose Reduced/Free Milk,108873.42400562216
Retail,Watermelons,108639.81116679116
Residential,Snack Combos,107645.8785170672
Farm,Broccoli,105998.0125
Residential,Diet And Nutrition,105629.2856017779
Residential,Chocolate Candy,105459.53930887672
Residential,Canned Beans,104608.40069096044
Farm,Avocados,102570.868342308
Residential,Broccoli,102333.1096720908
Residential,Pasta Sauce,98382.29727962895
